Q No.,Question,Option A,Option B,Option C,Option D,Answer
#0001,Which disease devastated livestock across the UK during 2001?,Hand-and-foot,Foot-in-mouth,Hand-to-mouth,Foot-and-mouth,Foot-and-mouth
#0002,Which of these kills its victims by constriction?,Andalucia,Anaconda,Andypandy,Annerobinson,Anaconda
#0003,Which of these might be used in underwater naval operations?,Frogmen,Newtmen,Toadmen,Tadpolemen,Frogmen
#0004,"In the UK, VAT stands for value-added ...?",Transaction,Total,Tax,Trauma,Tax
#0005,What are you said to do to a habit when you break it?,Throw it,Punch it,Kick it,Eat it,Kick it
#0006,"Where do you proverbially wear your heart, if you show your true feelings?",On your collar,On your lapel,On your cuff,On your sleeve,On your sleeve
#0007,What might an electrician lay?,Tables,Gables,Cables,Stables,Cables
#0008,What would a 'tattie picker' harvest?,Raspberries,Corn,Potatoes,Apples,Potatoes
#0009,Which of these means adequate space for moving in?,Elbow room,Foot rest,Ear hole,Knee lounge,Elbow room
#0010,How is a play on words commonly described?,Pan,Pin,Pen,Pun,Pun
#0011,Which colour is used as a term to describe an illegal market in rare goods?,Blue,Red,Black,White,Black
#0012,Which character was first played by Arnold Schwarzenegger in a 1984 film?,The Demonstrator,The Instigator,The Investigator,The Terminator,The Terminator
#0013,Which of these would a film actor like to receive?,Oliver,Oscar,Oliphant,Osbert,Oscar
#0014,In which country would you expect to be greeted with the word 'bonjour'?,Italy,France,Spain,Wales,France
#0015,What name is given to the person who traditionally attends the groom on his wedding day?,Best man,Top man,Old man,Poor man,Best man
#0016,Which word follows 'North' and 'South' to give the names of two continents?,Africa,America,Asia,Australia,America
#0017,Which country is not an island?,Madagascar,Cuba,Germany,Jamaica,Germany
#0018,Which is not the name of an English county?,Lancashire,Leicestershire,Liverpoolshire,Lincolnshire,Liverpoolshire
#0019,Which of these is a fashionable district of London?,Bulgaria,Belgravia,Belgrade,Belgium,Belgravia
#0020,What name is given to a playing card with a single symbol on it?,Whizz,Hotshot,Ace,Star,Ace
#0021,What would you normally do with a beret?,Eat it,Play it,Sit on it,Wear it,Wear it
#0022,Which of these is a tool for shaping and smoothing wood?,Train,Plane,Car,Bike,Plane
#0023,What do the Americans call what we call sweets?,Randy,Dandy,Sandy,Candy,Candy
#0024,"Which of these is a spicy, Cajun chicken or seafood dish?",Gumbo,Dumbo,Bimbo,Rambo,Gumbo
#0025,What would you expect to see at the London Aquarium?,Flowers,Trees,Steam rollers,Fish,Fish
#0026,People who are in a similar unfavourable situation are said to be 'all in the same ...'?,Car,Plane,Boat,Tube,Boat
#0027,"According to the old adage, how many lives does a cat have?",Five,Seven,Nine,Ten,Nine
#0028,Which of these is a keyboard instrument?,Harpsichord,Ripcord,Pyjama cord,Sashcord,Harpsichord
#0029,The former punk singer John Lydon was known on stage as Johnny ...?,Horrid,Rotten,Nasty,Hateful,Rotten
#0030,The name of which plant sounds like a greeting to 'Coronation Street's' Mrs Duckworth?,Hi mabel,G'day june,Wotcha di,Aloe vera,Aloe vera
#0031,The Nativity is the story of whose birth?,Jesus Christ,Elvis Presley,Winston Churchill,John F Kennedy,Jesus Christ
#0032,How many moons orbit the Earth?,One,Two,Three,Four,One
#0033,By what abbreviation is a compact disc commonly known?,CD,COD,CDIS,COMPD,CD
#0034,Which country shares a land border with the UK?,Portugal,Libya,Vietnam,Ireland,Ireland
#0035,The star sign Aquarius is also known as what?,The Water-carrier,The Food-carrier,The Hod-carrier,The Bag-carrier,The Water-carrier
#0036,Which of these would be of most use if you wanted to play poker?,Bat & ball,Pack of cards,Swimming trunks,Horse,Pack of cards
#0037,What are said to be 'down' when things are not going well?,Egg,Bacon,Chips,Beans,Chips
#0038,What name is given to a mound or ridge of windblown sand?,Drone,Dude,Dime,Dune,Dune
#0039,"Which part of the human body encases many of the vital organs such as the heart, lungs and liver?",Head,Legs,Arms,Torso,Torso
#0040,Which of these is a weight category in professional boxing?,Welterweight,Swelterweight,Slaughterweight,Daughterweight,Welterweight
#0041,Who has the authority to change a ball during a football match?,Sky Sports,The home team,Alex Ferguson,The referee,The referee
#0042,"If you are moving downhill over snow with a long runner attached to each foot, what are you doing?",Swimming,Skiing,Skateboarding,Showjumping,Skiing
#0043,"What sort of animal is Jess, who accompanies the TV character Postman Pat?",Dog,Horse,Cat,Mouse,Cat
#0044,A particular hazard for motorists is black ...?,Pudding,Ice,Holes,Mascara,Ice
#0045,Which 'Dallas' spin-off saw Gary Ewing arrive in a small Californian town?,Knots Patio,Knots Garage,Knots Porch,Knots Landing,Knots Landing
#0046,Which is a US-made soap opera?,Johnson's Mere,Thompson's Pond,Dawson's Creek,Madison's Lake,Dawson's Creek
#0047,Which of these is a discipline in both men's and women's gymnastics?,Floor exercises,Wall exercises,Ceiling exercises,Roof exercises,Floor exercises
#0048,Which of the following do bowlers aim to hit during a game of cricket?,Posts,Hoop,Net,Stumps,Stumps
#0049,Which of these applies to the shape of a soccer ball?,Conical,Cylindrical,Spherical,Oval,Spherical
#0050,Which novel by Charles Dickens was made into a film in 2002?,Danny Dimeby,Nicholas Nickleby,Quentin Quarterby,Donald Dollarby,Nicholas Nickleby
#0051,A 'cuppa' is an informal term for what?,Policeman,Cup of tea,2p coin,Smoked herring,Cup of tea
#0052,What is the meaning of the colloquial expression 'in the bag'?,Almost certain,Newly bought,Freshly cooked,Recently stolen,Almost certain
#0053,Which activity would you most associate with a mole?,Burrowing,Climbing,Swimming,Flying,Burrowing
#0054,Which is not a type of antelope?,Gorilla,Gerenuk,Gemsbok,Gnu,Gorilla
#0055,Which is an alternative name for members of the Society of Friends?,Kellogg's,Special Ks,Quakers,Jordans,Quakers
#0056,Which is another name for a short melodious tune?,Oxygen,Air,Nitrogen,Stratosphere,Air
#0057,Which of these is a large woodwind instrument?,Buffoon,Pantaloon,Bassoon,Macaroon,Bassoon
#0058,"In the nursery rhyme, who met a pieman?",Easy Eric,Plain Peter,Simple Simon,No Frills Fred,Simple Simon
#0059,Which of these is a material often used to make floor mats?,Rush,Dash,Hustle,Bustle,Rush
#0060,In which of the following might food be stored?,Larder,Shed,Greenhouse,Garage,Larder
#0061,What is rioja a type of?,Bread,Vegetable,Wine,Nut,Wine
#0062,Germania was the Roman name for which modern-day European country?,France,Austria,Germany,Spain,Germany
#0063,What was the UK's top paying attraction of 2002?,London Nose,London Mouth,London Eye,London Ear,London Eye
#0064,Which of these is a Scottish district council?,Inverchristopher,Inverclyde,Inverclint,Invercharles,Inverclyde
#0065,In which town are the administrative headquarters of Kent?,Maidstone,Lasspebble,Girlrock,Missgravel,Maidstone
#0066,Which of these geographical features is a mountain?,Kilimanjaro,Danube,Amazon,Nile,Kilimanjaro
#0067,Which word goes before 'States of America' to give the name of a country?,Joined,Agreed,United,Harmonious,United
